Tackle,001
Growl,001
Vine Whip,001
Poison Powder,001
Sleep Powder,001
Take Down,001
Razor Leaf,001
Sweet Scent,001
Growth,001
Double-Edge,001
Worry Seed,001
Synthesis,001
Seed Bomb,001
Tackle,002
Growl,002
Leech Seed,002
Vine Whip,002
Poison Powder,002
Sleep Powder,002
Take Down,002
Razor Leaf,002
Sweet Scent,002
Growth,002
Double-Edge,002
Worry Seed,002
Synthesis,002
Solar Beam,002
Petal Dance,003
Tackle,003
Growl,003
Leech Seed,003
Vine Whip,003
Poison Powder,003
Sleep Powder,003
Take Down,003
Razor Leaf,003
Sweet Scent,003
Growth,003
Double-Edge,003
Worry Seed,003
Synthesis,003
Petal Blizzard,003
Solar Beam,003
Scratch,004
Growl,004
Ember,004
Smokescreen,004
Dragon Rage,004
Scary Face,004
Fire Fang,004
Flame Burst,004
Slash,004
Flamethrower,004
Fire Spin,004
Inferno,004
Scratch,005
Growl,005
Ember,005
Smokescreen,005
Dragon Rage,005
Scary Face,005
Fire Fang,005
Flame Burst,005
Slash,005
Flamethrower,005
Fire Spin,005
Inferno,005
Wing Attack,006
Flare Blitz,006
Heat Wave,006
Dragon Claw,006
Shadow Claw,006
Air Slash,006
Scratch,006
Growl,006
Ember,006
Smokescreen,006
Dragon Rage,006
Scary Face,006
Fire Fang,006
Flame Burst,006
Slash,006
Flamethrower,006
Fire Spin,006
Inferno,006
Tackle,007
Tail Whip,007
Water Gun,007
Withdraw,007
Bubble,007
Bite,007
Rapid Spin,007
Protect,007
Water Pulse,007
Aqua Tail,007
Skull Bash,007
Iron Defense,007
Rain Dance,007
Hydro Pump,007
Tackle,008
Tail Whip,008
Water Gun,008
Withdraw,008
Bubble,008
Bite,008
Rapid Spin,008
Protect,008
Water Pulse,008
Aqua Tail,008
Skull Bash,008
Iron Defense,008
Rain Dance,008
Hydro Pump,008
Flash Cannon,009
Tackle,009
Tail Whip,009
Water Gun,009
Withdraw,009
Bubble,009
Bite,009
Rapid Spin,009
Protect,009
Water Pulse,009
Aqua Tail,009
Skull Bash,009
Iron Defense,009
Rain Dance,009
Hydro Pump,009
Tackle,010
String Shot,010
